id,artifact_id,group_id,version,signature,method
com.google.android.gms+play-services-base,com.google.android.gms,play-services-base,6.5.87,Ldalvik/system/DexClassLoader;->loadClass(),"[Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V, Lcom/google/android/gms/internal/i; g (Landroid/content/Context;)V]"
com.google.android.gms+play-services-gass,com.google.android.gms,play-services-gass,19.8.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/google/android/gms/internal/ads/zzdwz; zza (Lcom/google/android/gms/internal/ads/zzdwm;)Ljava/lang/Class;]
com.google.android.gms+play-services-gass,com.google.android.gms,play-services-gass,20.0.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/google/android/gms/internal/ads/zzeah; zzd (Lcom/google/android/gms/internal/ads/zzdzx;)Ljava/lang/Class;]
com.governikus+ausweisapp,com.governikus,ausweisapp,1.16.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lorg/qtproject/qt5/android/bindings/QtLoader; loadApplication (Landroid/os/Bundle;)V]
com.governikus+ausweisapp,com.governikus,ausweisapp,1.16.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lorg/qtproject/qt5/android/bindings/QtLoader; loadApplication (Landroid/os/Bundle;)V]
com.governikus+ausweisapp,com.governikus,ausweisapp,1.24.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lorg/qtproject/qt/android/bindings/QtLoader; loadApplication (Landroid/os/Bundle;)V]
com.governikus+ausweisapp,com.governikus,ausweisapp,1.24.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lorg/qtproject/qt/android/bindings/QtLoader; loadApplication (Landroid/os/Bundle;)V]
com.gx.lightat+compiler,com.gx.lightat,compiler,1.0.0,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/gx/lightat/GTCRunner$2; run ()V]
com.gx.lightat+compiler,com.gx.lightat,compiler,1.0.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lcom/gx/lightat/GTCRunner$2; run ()V]
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.0.0-beta.2,Ldalvik/system/DexClassLoader;->loadClass(),"[Lfb/fb/fb/c5/fb; fb (Ljava/lang/Class; Ljava/lang/String;)Ljava/lang/Object;, Lfb/fb/fb/c5/bkk3; loadWhiteList (Lcom/immomo/plugin/core/common/InstalledApk; Ljava/lang/String; Ljava/lang/String;)[Ljava/lang/String;]"
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.0.0-beta.2,Ldalvik/system/DexClassLoader;->loadClass(),[Lfb/fb/fb/c5/fb; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.0.0-rc.1,Ldalvik/system/DexClassLoader;->loadClass(),"[Lfb/fb/fb/c5/fb; fb (Ljava/lang/Class; Ljava/lang/String;)Ljava/lang/Object;, Lfb/fb/fb/c5/bkk3; loadWhiteList (Lcom/immomo/plugin/core/common/InstalledApk; Ljava/lang/String; Ljava/lang/String;)[Ljava/lang/String;]"
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.0.0-rc.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lfb/fb/fb/c5/fb; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.1.0-beta.1,Ldalvik/system/DexClassLoader;->loadClass(),"[Lfb/fb/fb/c5/fb; fb (Ljava/lang/Class; Ljava/lang/String;)Ljava/lang/Object;, Lfb/fb/fb/c5/bkk3; loadWhiteList (Lcom/immomo/plugin/core/common/InstalledApk; Ljava/lang/String; Ljava/lang/String;)[Ljava/lang/String;]"
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.1.0-beta.1,Ldalvik/system/DexClassLoader;->loadClass(),[Lfb/fb/fb/c5/fb; loadClass (Ljava/lang/String; Z)Ljava/lang/Class;]
com.immomo.plugin.lib+outlib,com.immomo.plugin.lib,outlib,1.1.0-rc.1,Ldalvik/system/DexClassLoader;->loadClass(),"[Lfb/fb/fb/c5/fb; fb (Ljava/lang/Class; Ljava/lang/String;)Ljava/lang/Object;, Lfb/fb/fb/c5/bkk3; loadWhiteList (Lcom/immomo/plugin/core/common/InstalledApk; Ljava/lang/String; Ljava/lang/String;)[Ljava/lang/String;]"
