id,artifact_id,group_id,version,permission,api,method
com.payermax+payment-easy,com.payermax,payment-easy,1.0.09,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getSubscriberId ()Ljava/lang/String;,"[Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; a (Landroid/content/Context; Landroid/telephony/TelephonyManager; I)Ljava/lang/String;, Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.09,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getDeviceId ()Ljava/lang/String;,"[Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; a (Landroid/telephony/TelephonyManager; I)Ljava/lang/String;, Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.09,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,"[Lcom/ushareit/easysdk/b/d/a; a (Landroid/content/Context;)Landroid/util/Pair;, Lcom/ushareit/easysdk/b/d/a; b (Landroid/content/Context;)Ljava/lang/String;, Lcom/ushareit/easysdk/e/p; a ()Z, Lcom/ushareit/easysdk/b/d/c; a (Landroid/content/Context;)Lcom/ushareit/easysdk/b/d/c;]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.08,['android.permission.ACCESS_WIFI_STATE'],Landroid/net/wifi/WifiManager; getConnectionInfo ()Landroid/net/wifi/WifiInfo;,"[Lcom/ushareit/easysdk/b/b/c/b; d (Landroid/content/Context;)Ljava/lang/String;, Lcom/ushareit/easysdk/b/d/c; a (Landroid/content/Context;)Lcom/ushareit/easysdk/b/d/c;]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.08,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getSubscriberId ()Ljava/lang/String;,"[Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; a (Landroid/content/Context; Landroid/telephony/TelephonyManager; I)Ljava/lang/String;, Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.08,['android.permission.READ_PHONE_STATE'],Landroid/telephony/TelephonyManager; getDeviceId ()Ljava/lang/String;,"[Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; e (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; c (Landroid/content/Context;)Lcom/ushareit/easysdk/b/b/c/c$b;, Lcom/ushareit/easysdk/b/b/c/c; a (Landroid/telephony/TelephonyManager; I)Ljava/lang/String;]"
com.payermax+payment-easy,com.payermax,payment-easy,1.0.08,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getActiveNetworkInfo ()Landroid/net/NetworkInfo;,"[Lcom/ushareit/easysdk/e/p; a ()Z, Lcom/ushareit/easysdk/b/d/a; a (Landroid/content/Context;)Landroid/util/Pair;, Lcom/ushareit/easysdk/b/d/c; a (Landroid/content/Context;)Lcom/ushareit/easysdk/b/d/c;, Lcom/ushareit/easysdk/b/d/a; b (Landroid/content/Context;)Ljava/lang/String;]"
com.livquik+qwcore,com.livquik,qwcore,2.0.0,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getNetworkInfo (I)Landroid/net/NetworkInfo;,"[Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z, Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z]"
com.livquik+qwcore,com.livquik,qwcore,1.0.7,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getNetworkInfo (I)Landroid/net/NetworkInfo;,"[Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z, Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z]"
com.livquik+qwcore,com.livquik,qwcore,4.0.1,['android.permission.ACCESS_NETWORK_STATE'],Landroid/net/ConnectivityManager; getNetworkInfo (I)Landroid/net/NetworkInfo;,"[Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z, Lcom/livquik/qwcore/helper/ConnectivityHelper; checkConnectivity (Landroid/content/Context;)Z]"
